"Name","Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"Queen","Chigolum",631,"Germany","Female",33,4,123246.7,1,0,0,112687.57,0
"Martin","Wilkinson",717,"Spain","Female",22,6,101060.25,1,0,1,84699.56,0
"Roger","Wei",684,"France","Male",30,2,0,2,1,0,83473.82,0
"Paul","Treacy",800,"France","Female",49,7,108007.36,1,0,0,47125.11,0
"J.R.R.","Hu",721,"Spain","Female",36,2,0,2,1,1,106977.8,0
"Grace","Taverner",683,"Spain","Male",29,0,133702.89,1,1,0,55582.54,1
"Oprah","Sherman",660,"Germany","Male",31,9,125189.75,2,1,1,139874.43,0
"Jon","Taubman",704,"Germany","Female",24,7,113034.22,1,1,0,162503.48,1
"Marie","Robinson",615,"Spain","Female",41,9,109013.23,1,1,0,196499.96,0
"Charles","Pinto",667,"Spain","Female",39,2,0,2,1,0,40721.24,1
"Jawaharlal","Wood",682,"Germany","Male",24,9,57929.81,2,0,0,53134.3,0
"Jimmy","Hawkins",484,"France","Female",29,4,130114.39,1,1,0,164017.89,0
"Pele","Sun",628,"Germany","Male",27,5,95826.49,2,1,0,155996.96,0
"Jimmy","Yost",480,"Germany","Male",44,10,129608.57,1,1,0,5472.7,1
"J.K.Rowling","Ting",578,"France","Male",30,4,169462.09,1,1,0,112187.11,0
"Neil","Rowe",512,"France","Male",40,5,0,2,1,1,146457.83,0
"George","Fu",484,"Spain","Female",35,7,133868.21,1,1,1,27286.1,0
"Winston","Ho",510,"France","Female",30,0,0,2,1,1,130553.47,0
"Leonardo","Okechukwu",606,"Germany","Male",36,5,190479.48,2,0,0,179351.89,0
"Cleopatra","Campbell",597,"Spain","Female",40,8,101993.12,1,0,1,94774.12,0
"Henry","Ashbolt",754,"Germany","Female",55,3,161608.81,1,1,0,8080.85,1
"Charles","Rozier",850,"Spain","Female",45,2,122311.21,1,1,1,19482.5,0
"Elvis","Hsia",510,"France","Male",65,2,0,2,1,1,48071.61,0
"Leonardo","Ogbonnaya",778,"Germany","Female",45,1,162150.42,2,1,0,174531.27,0
"Emile","T'ang",636,"France","Male",42,2,0,2,1,1,55470.78,0
"Amelia","Cocci",804,"France","Female",50,4,0,1,1,1,8546.87,1
"Dalai","Chang",514,"France","Male",32,8,0,2,1,0,95857.18,0
"Lyndon","T'ao",730,"France","Female",39,1,99010.67,1,1,0,194945.8,0
"Ronald","Ford",525,"Spain","Female",37,0,0,1,0,1,131521.72,0
"Mao","Marshall",616,"Spain","Male",30,5,0,2,0,1,196108.51,0
"Rupert","Tsai",687,"Germany","Female",34,7,111388.18,2,1,0,148564.76,0
"Fidel","Onwumelu",715,"France","Female",41,8,56214.85,2,0,0,92982.61,1
"George","Graham",512,"France","Female",36,3,84327.77,2,1,0,17675.36,0
"Richard","Golovanov",479,"France","Male",40,1,0,2,0,0,114996.43,0
"Jon","Potts",601,"France","Male",32,8,93012.89,1,1,0,86957.42,0
"Margaret","Crawford",580,"Spain","Male",29,9,61710.44,2,1,0,128077.8,0
"Lionel","Aleshire",807,"France","Male",35,3,174790.15,1,1,1,600.36,0
"Julie","Moran",616,"Spain","Female",32,6,0,2,1,1,43001.46,0
"Lionel","Samsonova",721,"Germany","Male",37,3,107720.64,1,1,1,158591.12,0
"Alfred","Jenkins",501,"France","Male",57,10,0,2,1,1,47847.19,0
"Jawaharlal","Volkov",521,"France","Male",35,6,96423.84,1,1,0,10488.44,0
"Barack","Chiemezie",850,"Spain","Male",30,2,141040.01,1,1,1,5978.2,0
"Coco","Jude",759,"France","Male",42,4,105420.18,1,0,1,121409.06,0
"Leonardo","He",516,"Spain","Male",50,5,0,1,0,1,146145.93,1
"Eva","Onuora",711,"France","Female",38,2,129022.06,2,1,1,14374.86,1
"George","Ginikanwa",512,"Spain","Male",33,3,176666.62,1,1,0,94670.77,0
"David","Ku",550,"France","Male",37,3,0,1,1,1,179670.31,0
"Marilyn","McDonald",608,"Spain","Female",41,3,89763.84,1,0,0,199304.74,1
"Paul","Collins",618,"France","Male",34,5,134954.53,1,1,1,151954.39,0
"Malala","Hackett",643,"France","Male",45,5,0,1,1,0,142513.5,1
"Elvis","Dike",671,"France","Male",45,2,106376.85,1,0,1,158264.62,0
"Oscar","Trevisano",689,"Germany","Male",33,2,161814.64,2,1,0,169381.9,0
"Fidel","Tan",603,"France","Male",31,8,0,2,1,1,169915.02,0
"Cristiano","Glassman",620,"France","Female",41,9,0,2,0,0,88852.47,0
"Franklin","Miller",676,"France","Female",34,1,63095.01,1,1,1,40645.81,0
"Brad","Kornilova",572,"Germany","Male",26,4,118287.01,2,0,0,60427.3,0
"Jawaharlal","Watson",668,"Germany","Male",47,7,106854.21,1,0,1,157959.02,1
"Bob","Marchesi",695,"France","Male",46,7,49512.55,1,1,0,133007.34,0
"Sigmund","Millar",730,"Spain","Female",33,9,0,2,0,0,176576.62,0
"Pele","Shih",807,"France","Male",43,1,105799.32,2,1,0,34888.04,1
"Haile","Fuller",592,"France","Male",54,8,0,1,1,1,28737.71,1
"J.R.R.","Hay",726,"France","Female",31,9,114722.05,2,1,1,98178.57,0
"Kylie","Yang",514,"Spain","Male",30,7,0,1,0,1,125010.24,0
"Marie","McIntyre",567,"France","Male",42,2,0,2,1,1,167984.61,0
"Anne","Stevenson",850,"France","Male",33,10,0,1,1,0,4861.72,1
"Wright","Poole",671,"Germany","Male",45,6,99564.22,1,1,1,108872.45,1
"Mahatma","Bagley",670,"France","Male",37,4,170557.91,2,1,0,198252.88,0
"Oscar","Ch'ien",694,"France","Female",30,9,0,2,1,1,26960.31,0
"Nelson","Cattaneo",547,"Germany","Female",39,6,74596.15,3,1,1,85746.52,1
"Paul","O'Sullivan",751,"Germany","Male",50,2,96888.39,1,1,0,77206.25,1
"Pope","Lucas",594,"Germany","Female",29,3,130830.22,1,1,0,61048.53,0
"Audrey","Ringrose",673,"France","Male",72,1,0,2,0,1,111981.19,0
"Winston","Freeman",610,"France","Male",40,0,0,2,1,0,62232.6,0
"Mary","Sergeyev",512,"France","Female",37,1,0,2,0,1,156105.03,0
"Ronald","Fiore",767,"Germany","Male",20,3,119714.25,2,0,1,150135.38,0
"Anne","Smith",585,"France","Female",67,5,113978.97,2,0,1,93146.11,0
"Prince","Dumetochukwu",763,"Germany","Male",42,6,100160.75,1,1,0,33462.94,1
"Leonardo","Pacheco",712,"France","Female",29,2,0,1,1,1,144375,0
"Amelia","Synnot",539,"Germany","Female",43,3,116220.5,3,1,0,55803.96,1
"Sting","Johnston",668,"France","Female",46,2,0,3,1,0,89048.46,1
"Winston","Stevens",703,"France","Male",28,2,81173.83,2,0,1,162812.16,0
"Pablo","Grant",662,"Spain","Male",38,4,0,2,1,0,136259.65,0
"Lance","Tsao",725,"Germany","Female",39,5,116803.8,1,1,0,124052.97,0
"George","Barnes",703,"France","Male",37,8,105961.68,2,0,1,74158.8,0
"Marie","McIntosh",659,"Germany","Male",67,6,117411.6,1,1,1,45071.09,1
"Woodrow","Madison",523,"Spain","Male",34,7,0,2,1,0,62030.06,0
"Madonna","Ifesinachi",635,"France","Female",40,10,123497.58,1,1,0,131953.23,1
"George","Glazkov",772,"Germany","Male",26,7,152400.51,2,1,0,79414,0
"Roman","Dimauro",545,"France","Female",26,1,0,2,1,1,199638.56,0
"Grace","Wieck",634,"Germany","Male",24,8,103097.85,1,1,1,157577.29,0
"Sacha","Liao",739,"Germany","Male",54,8,126418.14,1,1,0,134420.75,1
"Nelson","Hughes",771,"Germany","Female",36,5,77846.9,1,0,0,99805.99,0
"J.K.Rowling","Morrison",587,"Spain","Female",34,1,0,2,1,1,97932.68,0
"Emmeline","Matveyeva",681,"France","Female",79,0,0,2,0,1,170968.99,0
"Katherine","Ku",544,"Germany","Male",37,2,79731.91,1,1,1,57558.95,0
"Lyndon","Cheatham",696,"Spain","Male",28,8,0,1,0,0,176713.47,0
"Lance","Yao",766,"Spain","Male",41,0,0,2,0,1,34283.23,0
"Ronald","Kirkland",727,"France","Male",34,10,0,2,1,1,198637.34,0
"Carl","Rose",671,"Germany","Female",34,6,37266.67,2,0,0,156917.12,0
"Ernest","Jess",693,"France","Female",30,6,127992.25,1,1,1,50457.2,0
"Albert","Welch",850,"Germany","Male",38,3,54901.01,1,1,1,140075.55,0
"Tiger","Ifeajuna",732,"Germany","Male",42,9,108748.08,2,1,1,65323.11,0
"Leonardo","Morton",726,"Spain","Female",48,6,99906.19,1,1,0,64323.24,0
"Elvis","Rossi",557,"France","Female",32,6,184686.41,2,1,0,14956.44,0
"Marilyn","Reppert",682,"France","Female",26,0,110654.02,1,0,1,111879.21,0
"Wright","Kang",738,"Spain","Male",31,9,79019.8,1,1,1,18606.23,0
"Malcolm","Ch'iu",531,"Spain","Female",36,9,99240.51,1,1,0,123137.01,0
"Prince","Wallis",498,"France","Male",34,2,0,2,1,1,148528.24,0
"Michael","Clark",651,"France","Male",36,7,0,2,1,0,13898.31,0
"Donald","Fielding",549,"Spain","Female",39,7,0,1,0,0,81259.25,1
"Bob","Zetticci",791,"Germany","Female",35,7,52436.2,1,1,0,161051.75,0
"John","Dulhunty",650,"Spain","Male",41,9,0,2,0,1,191599.67,0
"Malala","Bevington",733,"Germany","Male",34,3,100337.96,3,1,0,48559.19,1
"Ronald","Boyle",811,"Germany","Female",34,1,149297.19,2,1,1,186339.74,0
"Neil","Newton",707,"France","Male",30,8,0,2,1,0,33159.37,0
"Thomas","Bowman",712,"Germany","Male",28,4,145605.44,1,0,1,93883.53,0
"Mao","Dubinina",706,"Spain","Female",37,7,0,2,1,1,110899.3,0
"Charles","Toscani",756,"France","Male",62,3,0,1,1,1,11199.04,1
"Coco","Chiazagomekpere",777,"France","Female",53,10,0,2,1,0,189992.97,0
"Mata","Allen",646,"France","Male",35,6,84026.86,1,0,1,164255.69,0
"Marie","K'ung",714,"France","Male",46,1,0,1,1,0,152167.79,1
"George","Wilsmore",782,"France","Male",39,8,0,2,1,1,33949.67,0
"Thomas","Hargreaves",775,"Spain","Male",29,10,0,2,1,1,68143.93,0
"Stephen","Huang",479,"Germany","Male",35,4,138718.92,1,1,1,47251.79,1
"Charles","Ch'ien",807,"France","Male",42,7,118274.71,1,1,1,25885.72,0
"Amelia","Wallwork",799,"France","Female",22,8,174185.98,2,0,1,192633.85,0
"Ingrid","Chu",675,"France","Male",40,7,113208.86,2,1,0,34577.36,0
"Bill","Kang",602,"Spain","Male",29,5,103907.28,1,1,0,161229.84,0
"Stephen","Davidson",475,"France","Female",32,8,119023.28,1,1,0,100816.29,0
"Jacqueline","O'Donnell",744,"Spain","Female",26,5,166297.89,1,1,1,181694.44,0
"Woodrow","Nnachetam",588,"Spain","Male",34,10,0,2,1,0,79078.91,0
"Pablo","Chidiebele",703,"Germany","Male",42,9,63227,1,0,1,137316.32,0
"Stephen","Ahmed",747,"Spain","Female",41,5,94521.17,2,1,0,194926.86,0
"Leon","Booth",583,"France","Male",27,7,0,2,1,0,51285.49,0
"Pope","Chuang",750,"Spain","Female",34,9,112822.26,1,0,0,150401.53,1
"Jawaharlal","Shao",681,"France","Male",38,3,0,2,1,1,112491.96,0
"Babe","Tsao",773,"France","Male",25,2,135903.33,1,1,0,73656.38,0
"Stephen","Tien",714,"France","Female",31,4,125169.26,1,1,1,106636.89,0
"David","Chang",687,"Spain","Female",44,7,0,3,1,0,155853.52,1
"Fidel","Johnson",511,"France","Male",58,0,149117.31,1,1,1,162599.51,0
"Mata","French",627,"France","Male",33,5,0,2,1,1,103737.82,0
"Oprah","Efremov",694,"France","Female",31,10,0,2,1,0,160990.27,0
"Winston","Hartley",616,"Spain","Female",36,6,132311.71,1,0,0,15462.84,0
"Tiger","Calabrese",687,"France","Male",35,8,0,2,1,0,10334.05,0
"Lyndon","Chiu",712,"France","Female",33,6,0,2,1,1,190686.16,0
"Malcolm","Brennan",553,"France","Male",33,4,118082.89,1,0,0,94440.45,0
"George","Onwuatuegwu",667,"France","Male",31,1,119266.69,1,1,1,28257.63,0
"Bill","Hewitt",731,"France","Male",43,2,0,1,1,1,170034.95,1
"Rupert","Shih",629,"Germany","Male",35,7,156847.29,2,1,0,31824.29,0
"Abraham","Balashov",614,"France","Male",50,4,137104.47,1,1,0,127166.49,1
"John","Doyle",438,"Germany","Male",31,8,78398.69,1,1,0,44937.01,0
"Cleopatra","Pokrovskii",652,"France","Female",80,4,0,2,1,1,188603.07,0
"Benazir","Collins",729,"Germany","Male",30,6,63669.42,1,1,0,145111.37,0
"Coco","Russo",642,"France","Male",38,3,0,2,0,0,171463.83,0
"Pablo","Skinner",806,"Germany","Female",59,0,135296.33,1,1,0,182822.5,0
"Mao","Robertson",744,"Spain","Male",36,2,153804.44,1,1,1,87213.33,0
"Michael","Atkinson",474,"Spain","Male",37,3,0,2,0,0,57175.32,0
"Walt","Doyle",559,"France","Male",49,2,147069.78,1,1,0,120540.83,1
"Pablo","Ritchie",706,"Spain","Male",42,9,0,2,1,1,28714.34,0
"Barack","McEncroe",628,"Spain","Female",22,3,0,1,1,0,85426.28,0
"Michael","Pearson",429,"France","Male",24,4,95741.75,1,1,0,46170.75,0
"Mata","Gordon",525,"Spain","Female",57,2,145965.33,1,1,1,64448.36,0
"Lord","Ts'ai",680,"France","Female",30,8,141441.75,1,1,1,16278.97,0
"Charles","Lung",749,"France","Male",40,1,139290.41,1,1,0,182855.42,1
"C.S.","Yuan",763,"France","Female",31,4,0,2,0,0,50404.72,0
"Oprah","Pardey",734,"France","Male",30,3,0,2,1,0,107640.25,0
"Audrey","Tai",716,"France","Male",35,4,144428.87,1,1,0,134132.65,0
"J.K.Rowling","Scott",594,"France","Male",35,2,0,2,1,0,103480.69,0
"Shakira","Hunter",644,"France","Female",46,9,95441.27,1,1,0,108761.05,1
"Katherine","Mazzanti",671,"Germany","Male",35,1,144848.74,1,1,1,179012.3,0
"Audrey","L?",664,"Germany","Male",26,7,116244.14,2,1,1,95145.14,0
"Billie","Beach",656,"France","Male",50,7,0,2,0,1,72143.44,0
"Elvis","Hsieh",667,"Spain","Female",40,1,146502.07,1,1,0,19162.89,0
"Leonardo","Faulkner",663,"Germany","Male",44,2,117028.6,2,0,1,144680.18,0
"Vladimir","Knowles",584,"Germany","Female",30,8,112013.81,1,1,0,177772.03,1
"Walt","Day",626,"Spain","Female",37,6,108269.37,1,1,0,5597.94,0
"Rupert","Hsueh",485,"France","Male",29,7,182123.79,1,1,0,116828.51,1
"George","Tsao",659,"Germany","Female",32,3,150923.74,2,0,1,174652.51,0
"Cleopatra","Kennedy",649,"France","Male",33,2,0,2,1,0,2010.98,0
"Desmond","Nwabugwu",805,"Spain","Female",39,5,165272.13,1,1,0,14109.85,1
"Aung","Young",716,"Germany","Female",39,10,115301.31,1,1,0,43527.4,1
